Código da Conta,Descrição da Conta,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-03-31 00:00:00.1,2024-06-30 00:00:00,2024-09-30 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00
6.01.02.04,Aumento/(redução) nos fornecedores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169784.0,323589.0,,,142334.0,289066.0,194660.0,125292,125292,685503,591882,944618.0,-328779
6.01.02.05,Aumento/(redução) nas obrigações sociais/tributárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218829.0,141733.0,,,188593.0,228278.0,-162284.0,325613,325613,232641,254702,-227047.0,227942
6.01.02.06,Aumento/(redução) nos adiantamentos de clientes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107847.0,333999.0,,,156745.0,242930.0,456271.0,282135,282135,-228944,-335415,422836.0,-75841
6.01.02.07,Aumento/(redução) nas outras contas a receber/pagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-200871.0,-428832.0,,,14683.0,343068.0,325871.0,-103882,-103882,-41862,-104938,-129912.0,-97936
6.01.02.08,Imposto de renda e contribuição social pagos,-63566.0,-92862.0,-124255.0,-152808.0,-45622.0,-78373.0,-133543.0,-174304.0,-51241.0,-95186.0,-150729.0,-210296.0,-71190.0,-128334.0,-192547.0,-280483.0,-81448.0,-156338.0,-218669.0,-290872.0,-72419.0,-166823.0,-235308.0,-298415.0,-56995.0,-95318.0,-168189.0,-244334.0,-35116.0,-82488.0,-132833.0,-167250.0,-21644.0,-78248.0,-129734.0,-192889.0,-17587.0,-57390.0,-123674.0,-210488.0,-54621.0,-125153.0,-260177.0,-420956.0,-50542.0,-259925.0,-465224.0,-675317.0,-140390.0,-260225.0,-342702.0,-744674.0,-279696.0,-616592.0,-853668.0,-1159725.0,-166600,-166600,-577619,-964264,-1375362.0,-413259
6.01.02.09,Pagamento de participação no resultado - colaboradores,-44947.0,-43643.0,-71791.0,-109469.0,-54718.0,-57938.0,-89153.0,-88369.0,-58400.0,-60971.0,-98515.0,-99790.0,-62738.0,-68936.0,-116525.0,-116454.0,-89048.0,-95035.0,-148193.0,-154518.0,-93885.0,-104182.0,-159711.0,-161454.0,-138484.0,-144123.0,-187732.0,-189892.0,-120193.0,-126472.0,-188138.0,-187180.0,-122587.0,-130246.0,-192933.0,-199162.0,-144317.0,-164708.0,-235206.0,-236146.0,-177672.0,-197543.0,-280081.0,-283117.0,-291263.0,-303486.0,-471436.0,-471573.0,-311157.0,-336191.0,-512762.0,-466705.0,-340549.0,-371271.0,-579623.0,-568469.0,-425308,-425308,-450711,-665474,-625765.0,-462535
6.01.02.10,Juros pagos sobre empréstimos e financiamentos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-127655.0,-188725,-188725,-222232,-294594,-160301.0,-21378
6.01.02.11,Aumento/Redução nas Contas a Receber,59641.0,-78336.0,-89994.0,-6203.0,20692.0,-50668.0,-158381.0,-343874.0,23288.0,-140355.0,-223067.0,-324344.0,91360.0,-163450.0,-123528.0,-99545.0,118511.0,110039.0,-122894.0,-155402.0,-233777.0,-264270.0,-599997.0,-651516.0,-29435.0,-80332.0,114662.0,89449.0,45340.0,-3428.0,-66662.0,-104890.0,23783.0,-220803.0,-282344.0,-188969.0,-218520.0,-149474.0,96060.0,-150828.0,429620.0,248529.0,428081.0,487751.0,-464873.0,-907260.0,-1305735.0,-1348893.0,-819847.0,0.0,0.0,-912382.0,-37608.0,0.0,0.0,0.0,0,0,0,0,0.0,0
6.01.02.12,Aumento/Redução nas Contas a Pagar,34044.0,421453.0,236063.0,96334.0,59352.0,118094.0,149649.0,130982.0,67113.0,163936.0,150126.0,187545.0,46754.0,142807.0,216998.0,188883.0,50259.0,78717.0,249930.0,129357.0,166965.0,112044.0,311650.0,-23697.0,46959.0,317083.0,186636.0,109674.0,73981.0,-31395.0,-4523.0,-107770.0,161497.0,266335.0,256179.0,264025.0,23248.0,-115456.0,26296.0,321190.0,-66401.0,-74044.0,209333.0,785538.0,484123.0,848857.0,1033500.0,1170236.0,884500.0,0.0,0.0,-360078.0,827023.0,0.0,0.0,0.0,0,0,0,0,0.0,0
6.01.03,Outros,-1320.0,6242.0,15736.0,34737.0,-5478.0,-711.0,23988.0,3332.0,13915.0,38239.0,51313.0,21913.0,3783.0,13413.0,22877.0,-32806.0,6250.0,5468.0,14011.0,54013.0,115960.0,71749.0,73559.0,44477.0,-59321.0,-86383.0,-108066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0
6.02,Caixa Líquido Atividades de Investimento,-63557.0,-247717.0,-336176.0,-365205.0,-34575.0,-325308.0,-319668.0,-650475.0,-242580.0,-303822.0,-347183.0,-441754.0,-97736.0,165223.0,82813.0,-29003.0,-142363.0,-454394.0,-679315.0,-1450466.0,-167766.0,-393345.0,-485483.0,-903966.0,-506786.0,-630933.0,-702337.0,-678392.0,-114733.0,-183830.0,-389587.0,-200066.0,-218416.0,-320927.0,-1554478.0,-833290.0,329249.0,226319.0,258570.0,-59748.0,27860.0,75126.0,121482.0,207375.0,-5237.0,-210133.0,-423880.0,-683870.0,-311023.0,-528014.0,-848852.0,-1346394.0,-340989.0,-781961.0,-1277039.0,-1714206.0,-386203,-386203,-2630739,-3064126,-4094629.0,-701840
,Investimentos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0
6.02.02,Imobilizado,-61392.0,-218617.0,-248847.0,-261863.0,-33800.0,-74938.0,-124813.0,-189065.0,-58335.0,-113749.0,-164185.0,-237882.0,-56759.0,-118040.0,-186951.0,-258699.0,-64284.0,-158315.0,-290635.0,-427652.0,-120293.0,-221396.0,-352913.0,-468146.0,-114454.0,-196322.0,-244842.0,-325504.0,-58663.0,-114077.0,-179760.0,-254955.0,-55719.0,-139397.0,-240334.0,-403543.0,-84206.0,-198840.0,-325797.0,-496115.0,-112683.0,-206845.0,-345414.0,-481104.0,-116754.0,-262798.0,-477770.0,-780849.0,-200454.0,-408976.0,-715805.0,-1111431.0,-331874.0,-760937.0,-1173067.0,-1586001.0,-334447,-334447,-707746,-1123803,-1780663.0,-596011
6.02.03,Intangível,-792.0,-12676.0,-81274.0,-4772.0,-3365.0,-8426.0,-2462.0,2426.0,3784.0,-15742.0,-17949.0,-17939.0,-811.0,-1483.0,-20877.0,-21943.0,-3208.0,-8708.0,-35926.0,-40943.0,-9098.0,-17344.0,-23001.0,-38922.0,-508.0,-3834.0,-5498.0,-37121.0,-2601.0,-8892.0,-11045.0,-10822.0,-6014.0,-14984.0,-18985.0,-25860.0,-7589.0,-10983.0,-18237.0,-28367.0,-10991.0,-24248.0,-34400.0,-77442.0,-15985.0,-38213.0,-48277.0,-66495.0,-9151.0,-26731.0,-46521.0,-62979.0,-11551.0,-27246.0,-46799.0,-72624.0,-17087,-17087,-35319,-54133,-69659.0,-25230
6.02.04,Recebimento na venda de Ativo Imobilizado e Intangível,818.0,2022.0,18995.0,18929.0,177.0,660.0,2472.0,17323.0,2136.0,4533.0,6111.0,14730.0,903.0,1122.0,1985.0,2030.0,490.0,4195.0,4641.0,12355.0,11306.0,11823.0,13202.0,18170.0,6329.0,6784.0,7491.0,13611.0,614.0,4486.0,6948.0,15454.0,1397.0,5307.0,8079.0,11353.0,213.0,12957.0,15292.0,43855.0,1373.0,8406.0,4731.0,23400.0,19374.0,37605.0,40840.0,50359.0,6217.0,4334.0,8595.0,20526.0,8612.0,9890.0,7497.0,17827.0,973,973,3062,4548,17998.0,1523
,Ajuste Acumulado de Conversão,-2191.0,-18446.0,-25050.0,-34008.0,2413.0,-16547.0,38401.0,34378.0,2382.0,61243.0,74054.0,78521.0,-25135.0,33812.0,38894.0,0.0,-53618.0,-85559.0,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0
,Aplicações financeiras,0.0,0.0,0.0,0.0,0.0,-226057.0,-233266.0,-280635.0,-7337.0,28439.0,23332.0,17359.0,-4497.0,261249.0,261199.0,261046.0,132.0,-75755.0,-227108.0,-863979.0,-18494.0,-72657.0,-10948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0
6.02.09,Ágio em Transação de Capital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51107.0,-51788.0,-51788.0,-54077.0,-5169.0,-5169.0,-5169.0,-5177.0,-2699.0,-2699.0,-2699.0,-2699.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0
6.02.08,Aquisição de empresa - combinação de negócios (líquido de caixa),0.0,0.0,0.0,-83491.0,0.0,0.0,0.0,-234902.0,-82013.0,-164668.0,-164668.0,-183156.0,0.0,0.0,0.0,0.0,-13229.0,-136528.0,-136528.0,-136523.0,-34576.0,-97500.0,-115552.0,-129678.0,-291830.0,-292301.0,-292301.0,-288287.0,-4050.0,-4050.0,-95828.0,-94674.0,-128567.0,-128567.0,-128567.0,-118257.0,0.0,0.0,0.0,-121830.0,0.0,0.0,0.0,-144335.0,0.0,0.0,0.0,0.0,-98441.0,-98441.0,-97307.0,-195052.0,-7414.0,-7414.0,-7414.0,-7414.0,0,0,-1894972,-1894973,-2263748.0,-81972
6.02.11,Caixa adquirido de combinação de negócio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14922.0,14922.0,14922.0,3389.0,3729.0,3729.0,6260.0,0.0,4014.0,4014.0,0.0,0.0,0.0,1154.0,0.0,12432.0,12432.0,12432.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0,0,0,0,0.0,0
